Name,Glycan Structure
G00002CF,G00002CF
G00009BX,G00009BX
G00012MO,G00012MO
G00012RZ,G00012RZ
G00013MO,G00013MO
G00014MO,G00014MO
G00015MO,G00015MO
G00016MO,G00016MO
G00017MO,G00017MO
G00018MO,G00018MO
G00019MO,G00019MO
G00020MO,G00020MO
G00021MO,G00021MO
G00022MO,G00022MO
G00023MO,G00023MO
G00024MO,G00024MO
G00025AJ,G00025AJ
G00025MO,G00025MO
G00025YC,G00025YC
G00026MO,G00026MO
G00027JG,G00027JG
G00027MO,G00027MO
G00028MO,G00028MO
G00029MO,G00029MO
G00030HB,G00030HB
G00030MO,G00030MO
G00031MO,G00031MO
G00032MO,G00032MO
G00033MO,G00033MO
G00034MO,G00034MO
G00034WH,G00034WH
G00035MO,G00035MO
G00036MO,G00036MO
G00037MO,G00037MO
G00038MO,G00038MO
G00039MO,G00039MO
G00040MO,G00040MO
G00041IL,G00041IL
G00041MO,G00041MO
G00042MO,G00042MO
G00043MO,G00043MO
G00044MO,G00044MO
G00045MO,G00045MO
G00046MO,G00046MO
G00047MO,G00047MO
G00048MO,G00048MO
G00049MO,G00049MO
G00050MO,G00050MO
G00051MO,G00051MO
G00052MO,G00052MO
G00053MO,G00053MO
G00054MO,G00054MO
G00055MO,G00055MO
G00056HH,G00056HH
G00056MO,G00056MO
G00057LF,G00057LF
G00057MO,G00057MO
G00058MO,G00058MO
G00058XR,G00058XR
G00059MO,G00059MO
G00060BT,G00060BT
G00060MO,G00060MO
G00061MO,G00061MO
G00062MO,G00062MO
G00063MO,G00063MO
G00064MO,G00064MO
G00065MO,G00065MO
G00066MO,G00066MO
G00066WY,G00066WY
G00067MO,G00067MO
G00068MO,G00068MO
G00069MO,G00069MO
G00070MO,G00070MO
G00071MO,G00071MO
G00072MO,G00072MO
G00076PK,G00076PK
G00082CQ,G00082CQ
G00087BY,G00087BY
G00089VH,G00089VH
G00090SL,G00090SL
G00091RT,G00091RT
G00094SE,G00094SE
G00097DN,G00097DN
G00105XF,G00105XF
G00106LE,G00106LE
G00106LK,G00106LK
G00109SL,G00109SL
G00112IO,G00112IO
G00116QX,G00116QX
G00120OY,G00120OY
G00120QS,G00120QS
G00123JF,G00123JF
G00133UK,G00133UK
G00140XB,G00140XB
G00140YZ,G00140YZ
G00141ZD,G00141ZD
G00152LK,G00152LK
G00153LJ,G00153LJ
G00155YT,G00155YT
G00157WT,G00157WT
G00167VE,G00167VE
G00171RJ,G00171RJ
G00175GT,G00175GT
G00176HZ,G00176HZ
G00185NL,G00185NL
G00186OS,G00186OS
G00194GV,G00194GV
G00194ZL,G00194ZL
G00199JR,G00199JR
G00204EX,G00204EX
G00207YQ,G00207YQ
G00211WY,G00211WY
G00212ZT,G00212ZT
G00219DO,G00219DO
G00219VH,G00219VH
G00221CZ,G00221CZ
G00227RN,G00227RN
G00229TF,G00229TF
G00229VQ,G00229VQ
G00230CO,G00230CO
G00230IL,G00230IL
