"Name","Glycan Structure"
"G00002CF","?-D-NeupGc-(2->?)-?-D-NeupGc-(2->?)-?-D-Galp-(1->?)-?-D-Glcp-(1->"
"G00009BX","alpha-L-Fucp-(1->2)-beta-D-Galp-(1->4)-beta-D-GlcpNAc-(1->3)-beta-D-Galp-(1->4)-?-D-GlcNAc-(?->"
"G00012MO","beta-D-GalpNAc-(1->3)-alpha-D-Galp-(1->3)-beta-D-Galp-(1->4)-?-D-Glc-(?->"
"G00013MO","beta-D-Galp-(1->3)-beta-D-Galp-(1->4)-beta-D-Galp-(1->4)-?-D-Glc-(?->"
"G00014MO","beta-D-GalpNAc-(1->4)-beta-D-GlcpNAc-(1->3)-beta-D-Manp-(1->4)-?-D-Glc-(?->"
"G00015MO","beta-D-GlcpNAc-(1->2)-alpha-D-Manp-(1->3)-beta-D-Manp-(1->4)-?-D-Glc-(?->"
"G00016MO","alpha-D-Galp-(1->4)-?-D-Gal-(?->"
"G00017MO","beta-D-GlcpA-(1->3)-beta-D-GlcpNAc-(1->4)-beta-D-GlcpA-(1->3)-?-D-GlcNAc-(?->"
"G00018MO","beta-D-GlcpA-(1->3)-beta-D-GalpNAc4S-(1->4)-beta-D-GlcpA-(1->3)-?-D-GalNAc4S-(?->"
"G00019MO","beta-D-IdopA-(1->3)-beta-D-GalpNAc4S-(1->4)-beta-D-IdopA-(1->3)-?-D-GalNAc4S-(?->"
"G00020MO","beta-D-Galp-(1->4)-beta-D-GlcpNAc6S-(1->3)-beta-D-Galp-(1->4)-?-D-GlcNAc6S-(?->"
"G00023MO","beta-D-GlcpNAc3lRLac-(1->4)-beta-D-GlcpNAc-(1->4)-beta-D-GlcpNAc3lRLac-(1->4)-?-D-GlcpNAc-(1->"
"G00024MO","beta-D-Glcp-(1->3)-beta-D-Glcp-(1->3)-beta-D-Glcp-(1->"
"G00025AJ","beta-D-Galp-(1->4)[alpha-L-Fucp-(1->3)]-?-D-Glc-(?->"
"G00025MO","beta-D-Glcp-(1->4)-beta-D-Glcp-(1->4)-beta-D-Glcp-(1->4)-beta-D-Glcp-(1->"
"G00026MO","alpha-D-Manp-(1->3)[alpha-D-Manp-(1->6)]-beta-D-Manp-(1->4)-beta-D-GlcpNAc-(1->4)-?-D-GlcNAc-(?->"
"G00027JG","alpha-L-Fucp-(1->2)-beta-D-Galp-(1->3)[alpha-L-Fucp-(1->2)-beta-D-Galp-(1->4)-beta-D-GlcpNAc-(1->6)]-beta-D-Gal?NAc-(1->"
"G00027MO","alpha-D-Manp-(1->3)[alpha-D-Manp-(1->6)]-beta-D-Manp-(1->4)-beta-D-GlcpNAc-(1->"
"G00028MO","alpha-D-Manp-(1->3)[alpha-D-Manp-(1->3)[alpha-D-Manp-(1->6)]-alpha-D-Manp-(1->6)]-beta-D-Manp-(1->4)-beta-D-GlcpNAc-(1->4)-?-D-GlcNAc-(?->"
"G00029MO","beta-D-GlcpNAc-(1->2/4)-alpha-D-Manp-(1->3)[alpha-D-Manp-(1->3/6)-alpha-D-Manp-(1->6)]-beta-D-Manp-(1->4)-beta-D-GlcpNAc-(1->4)-?-D-GlcpNAc-(1->"
"G00030MO","beta-D-GlcpNAc-(1->2/4)-alpha-D-Manp-(1->3)[beta-D-GlcpNAc-(1->2/4)-alpha-D-Manp-(1->6)]-beta-D-Manp-(1->4)-beta-D-GlcpNAc-(1->4)-?-D-GlcNAc-(?->"
"G00031MO","beta-D-Galp-(1->3)-alpha-D-GalpNAc-(1->"
"G00032MO","beta-D-Galp-(1->3)-?-D-GalNAc-(?->"
